Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,150.6,0.64,0.005,0.006,235.31
2009-10,89.13,0.42,0.002,0.003,212.21
2010-11,102.93,0.41,0.002,0.003,251.05
2011-12,4.11,0.11,0.0,0.001,37.36
2012-13,88.06,0.82,0.002,0.004,107.39
2013-14,5.42,0.1,0.0,0.0,54.2
2014-15,157.96,1.75,0.003,0.006,90.26
2015-16,22.46,0.24,0.0,0.001,93.58
2016-17,59.78,0.94,0.0,0.001,63.6
2017-18,434.33,2.71,0.004,0.006,160.27
2018-19,338.61,2.91,0.006,0.007,116.36
2019-20,192.08,2.21,0.003,0.005,86.91
2020-21,150.36,0.99,0.003,0.002,151.88
2021-22,14.73,0.09,0.0,0.0,163.67
2022-23,100.04,1.06,0.001,0.002,94.38
2023-24 (April-November),15.45,0.32,0.0,0.001,48.28
Total,1926.0500000000002,15.720000000000002,0.0,0.0,0.0
